Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,CombinedIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Loan_Default
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,7551,133,180,1,Urban,Y,N
LP001546,Male,No,0,Graduate,,2980,2083,5063,120,360,1,Rural,Y,N
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,7550,108,360,1,Rural,Y,N
LP001875,Male,No,0,Graduate,No,4095,3447,7542,151,360,1,Rural,Y,N
LP001562,Male,Yes,0,Graduate,No,7933,0,7933,275,360,1,Urban,N,
LP001565,Male,Yes,1,Graduate,No,3089,1280,4369,121,360,0,Semiurban,N,
LP002741,Female,Yes,1,Graduate,No,4608,2845,7453,140,180,1,Semiurban,Y,N
LP001903,Male,Yes,0,Graduate,No,3993,3274,7267,207,360,1,Semiurban,Y,N
LP001871,Female,No,0,Graduate,No,7200,0,7200,120,360,1,Rural,Y,N
LP001577,Female,Yes,0,Graduate,No,4583,0,4583,112,360,1,Rural,N,
LP002234,Male,No,0,Graduate,Yes,7167,0,7167,128,360,1,Urban,Y,Y
LP001579,Male,No,0,Graduate,No,2237,0,2237,63,480,0,Semiurban,N,
LP002936,Male,Yes,0,Graduate,No,3859,3300,7159,142,180,1,Rural,Y,N
LP001581,Male,Yes,0,Not Graduate,,1820,1769,3589,95,360,1,Rural,Y,N
LP001585,,Yes,3+,Graduate,No,51763,0,51763,700,300,1,Urban,Y,N
LP001586,Male,Yes,3+,Not Graduate,No,3522,0,3522,81,180,1,Rural,N,
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0,7142,138,360,1,Rural,Y,N
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,5080,87,360,1,Semiurban,N,
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424,7101,100,360,1,Rural,Y,N
LP001238,Male,Yes,3+,"model = sm.OLS(y, X).fit()",Yes,7100,0,7100,125,60,1,Urban,Y,Y
LP001610,Male,Yes,3+,Graduate,No,5516,11300,16816,495,360,0,Semiurban,N,
LP002112,Male,Yes,2,Graduate,Yes,2500,4600,7100,176,360,1,Rural,Y,N
LP001630,Male,No,0,Not Graduate,No,2333,1451,3784,102,480,0,Urban,N,
LP001633,Male,Yes,1,Graduate,No,6400,7250,13650,180,360,0,Urban,N,
LP001634,Male,No,0,Graduate,No,1916,5063,6979,67,360,,Rural,N,
LP002453,Male,No,0,Graduate,Yes,7085,0,7085,84,360,1,Semiurban,Y,N
LP001637,Male,Yes,1,Graduate,No,33846,0,33846,260,360,1,Semiurban,N,
LP002175,Male,Yes,0,Graduate,No,4750,2333,7083,130,360,1,Urban,Y,N
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,7040,187,360,1,Semiurban,Y,N
LP001641,Male,Yes,1,Graduate,Yes,2178,0,2178,66,300,0,Rural,N,
LP001643,Male,Yes,0,Graduate,No,2383,2138,4521,58,360,,Rural,Y,N
LP001644,,Yes,0,Graduate,Yes,674,5296,5970,168,360,1,Rural,Y,N
LP002366,Male,Yes,0,Graduate,No,2666,4300,6966,121,360,1,Rural,Y,N
LP001504,Male,No,0,Graduate,Yes,6950,0,6950,175,180,1,Semiurban,Y,N
LP001656,Male,No,0,Graduate,No,12000,0,12000,164,360,1,Semiurban,N,
LP001657,Male,Yes,0,Not Graduate,No,6033,0,6033,160,360,1,Urban,N,
LP002659,Male,Yes,3+,Graduate,No,3466,3428,6894,150,360,1,Rural,Y,N
LP001953,Male,Yes,1,Graduate,No,6875,0,6875,200,360,1,Semiurban,Y,N
LP001665,Male,Yes,1,Graduate,No,3125,2583,5708,170,360,1,Semiurban,N,
LP001574,Male,Yes,0,Graduate,No,3707,3166,6873,182,,1,Rural,Y,N
LP002180,Male,No,0,Graduate,Yes,6822,0,6822,141,360,1,Rural,Y,N
LP001671,Female,Yes,0,Graduate,No,3416,2816,6232,113,360,,Semiurban,Y,N
LP001673,Male,No,0,Graduate,Yes,11000,0,11000,83,360,1,Urban,N,
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,6816,88,360,1,Urban,Y,Y
LP001514,Female,Yes,0,Graduate,No,2330,4486,6816,100,360,1,Semiurban,Y,N
LP001682,Male,Yes,3+,Not Graduate,No,3992,0,3992,,180,1,Urban,N,
LP002716,Male,No,0,Not Graduate,No,6783,0,6783,130,360,1,Semiurban,Y,N
LP001784,Male,Yes,1,Graduate,No,5500,1260,6760,170,360,1,Rural,Y,N
LP002706,Male,Yes,1,Not Graduate,No,5285,1430,6715,161,360,0,Semiurban,Y,Y
LP002418,Male,No,3+,Not Graduate,No,4707,1993,6700,148,360,1,Semiurban,Y,N
LP002555,Male,Yes,2,Graduate,Yes,4583,2083,6666,160,360,1,Semiurban,Y,N
LP001819,Male,Yes,1,Not Graduate,No,6608,0,6608,137,180,1,Urban,Y,N
LP001702,Male,No,0,Graduate,No,3418,0,3418,127,360,1,Semiurban,N,
LP001708,Female,No,0,Graduate,No,10000,0,10000,214,360,1,Semiurban,N,
LP001711,Male,Yes,3+,Graduate,No,3430,1250,4680,128,360,0,Semiurban,N,
LP002785,Male,Yes,1,Graduate,No,3333,3250,6583,158,360,1,Urban,Y,Y
LP002798,Male,Yes,0,Graduate,No,3887,2669,6556,162,360,1,Semiurban,Y,N
LP002892,Male,Yes,2,Graduate,No,6540,0,6540,205,360,1,Semiurban,Y,Y
LP001698,Male,No,0,Not Graduate,No,3975,2531,6506,55,360,1,Rural,Y,N
LP001722,Male,Yes,0,Graduate,No,150,1800,1950,135,360,1,Rural,N,
LP001978,Male,No,0,Graduate,No,4000,2500,6500,140,360,1,Rural,Y,N
LP001732,Male,Yes,2,Graduate,,5000,0,5000,72,360,0,Semiurban,N,
LP001734,Female,Yes,2,Graduate,No,4283,2383,6666,127,360,,Semiurban,Y,N
LP001736,Male,Yes,0,Graduate,No,2221,0,2221,60,360,0,Urban,N,
LP002792,Male,Yes,1,Graduate,No,5468,1032,6500,26,360,1,Semiurban,Y,N
LP002804,Female,Yes,0,Graduate,No,4180,2306,6486,182,360,1,Semiurban,Y,N
LP002740,Male,Yes,3+,Graduate,No,6417,0,6417,157,180,1,Rural,Y,N
LP002928,Male,Yes,0,Graduate,No,3000,3416,6416,56,180,1,Semiurban,Y,N
LP001751,Male,Yes,0,Graduate,No,3250,0,3250,170,360,1,Rural,N,
LP001754,Male,Yes,,Not Graduate,Yes,4735,0,4735,138,360,1,Urban,N,
LP001761,Male,No,0,Graduate,Yes,6400,0,6400,200,360,1,Rural,Y,N
LP001760,Male,,,Graduate,No,4758,0,4758,158,480,1,Semiurban,Y,N
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,6327,152,360,1,Rural,Y,N
LP002190,Male,Yes,1,Graduate,No,6325,0,6325,175,360,1,Semiurban,Y,N
LP001768,Male,Yes,0,Graduate,,3716,0,3716,42,180,1,Rural,Y,N
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,6314,194,360,1,Rural,Y,N
LP001205,Male,Yes,0,import statsmodels.api as sm,No,2500,3796,6296,120,360,1,Urban,Y,N
LP001131,Male,Yes,0,Graduate,No,3941,2336,6277,134,360,1,Semiurban,Y,N
LP001151,Female,No,0,Graduate,No,4000,2275,6275,144,360,1,Semiurban,Y,N
LP001786,Male,Yes,0,Graduate,,5746,0,5746,255,360,,Urban,N,
LP001788,Female,No,0,Graduate,Yes,3463,0,3463,122,360,,Urban,Y,Y
LP001243,Male,Yes,0,Graduate,No,3208,3066,6274,172,360,1,Urban,Y,N
LP001750,Male,Yes,0,Graduate,No,6250,0,6250,128,360,1,Semiurban,Y,N
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,6216,144,360,1,Urban,Y,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,4493,140,180,1,Urban,N,
LP001924,Male,No,0,Graduate,No,3158,3053,6211,89,360,1,Rural,Y,N
LP001716,Male,Yes,0,Graduate,No,3173,3021,6194,137,360,1,Urban,Y,N
LP002097,Male,No,1,Graduate,No,4384,1793,6177,117,360,1,Urban,Y,N
LP001813,Male,No,0,Graduate,Yes,6050,4333,10383,120,180,1,Urban,N,
LP001882,Male,Yes,3+,Graduate,No,4333,1811,6144,160,360,0,Urban,Y,Y
LP001877,Male,Yes,2,Graduate,No,4708,1387,6095,150,360,1,Semiurban,Y,N
LP001008,Male,No,0,Graduate,No,6000,0,6000,141,360,1,Urban,Y,N
LP002231,Female,No,0,Graduate,No,6000,0,6000,156,360,1,Urban,Y,Y
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,5558,201,360,0,Semiurban,N,
LP001836,Female,No,2,Graduate,No,3427,0,3427,138,360,1,Urban,N,
LP002494,Male,No,0,Graduate,No,6000,0,6000,140,360,1,Rural,Y,N
LP002874,Male,No,0,Graduate,No,3229,2739,5968,110,360,1,Urban,Y,Y
LP001844,Male,No,0,Graduate,Yes,16250,0,16250,192,360,0,Urban,N,
LP002368,Male,Yes,2,Graduate,No,5935,0,5935,133,360,1,Semiurban,Y,N
LP001849,Male,No,0,Not Graduate,No,6045,0,6045,115,360,0,Rural,N,
LP001854,Male,Yes,3+,Graduate,No,5250,0,5250,94,360,1,Urban,N,
LP001859,Male,Yes,0,Graduate,No,14683,2100,16783,304,360,1,Rural,N,
LP001864,Male,Yes,3+,Not Graduate,No,4931,0,4931,128,360,,Semiurban,N,
LP001865,Male,Yes,1,Graduate,No,6083,4250,10333,330,360,,Urban,Y,Y
LP002961,Male,Yes,1,Graduate,No,3400,2500,5900,173,360,1,Semiurban,Y,N
LP001870,Female,No,1,Graduate,No,3481,0,3481,155,36,1,Semiurban,N,
LP001316,Male,Yes,0,Graduate,No,2958,2900,5858,131,360,1,Semiurban,Y,N
LP002348,Male,Yes,0,Graduate,No,5829,0,5829,138,360,1,Rural,Y,N
LP001144,Male,Yes,0,Graduate,No,5821,0,5821,144,360,1,Urban,Y,N
LP002821,Male,No,0,Not Graduate,Yes,5800,0,5800,132,360,1,Semiurban,Y,Y
LP001770,Male,No,0,Not Graduate,No,3189,2598,5787,120,,1,Rural,Y,N
LP001883,Female,No,0,Graduate,,3418,0,3418,135,360,1,Rural,N,
LP002119,Male,Yes,1,Not Graduate,No,4554,1229,5783,158,360,1,Urban,Y,N
LP002948,Male,Yes,2,Graduate,No,5780,0,5780,192,360,1,Urban,Y,N
LP001578,Male,Yes,0,Graduate,No,2439,3333,5772,129,360,1,Rural,Y,N
LP001744,Male,No,0,Graduate,No,2971,2791,5762,144,360,1,Semiurban,Y,N
LP002211,Male,Yes,0,Graduate,No,4817,923,5740,120,180,1,Urban,Y,N
LP001743,Male,Yes,2,Graduate,No,4009,1717,5726,116,360,1,Semiurban,Y,N
LP001947,Male,Yes,0,Graduate,No,2383,3334,5717,172,360,1,Semiurban,Y,N
LP001926,Male,Yes,0,Graduate,No,3704,2000,5704,120,360,1,Rural,Y,N
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,5703,130,360,1,Rural,Y,Y
LP002953,Male,Yes,3+,Graduate,No,5703,0,5703,128,360,1,Urban,Y,N
LP001908,Female,Yes,0,Not Graduate,No,4100,0,4100,124,360,,Rural,Y,N
LP001910,Male,No,1,Not Graduate,Yes,4053,2426,6479,158,360,0,Urban,N,
LP001520,Male,Yes,0,Graduate,No,4860,830,5690,125,360,1,Semiurban,Y,N
LP001138,Male,Yes,1,Graduate,No,5649,0,5649,44,360,1,Urban,Y,N
LP001570,Male,Yes,2,Graduate,No,4167,1447,5614,158,360,1,Rural,Y,N
LP001922,Male,Yes,0,Graduate,No,20667,0,20667,,360,1,Rural,N,
LP002284,Male,No,0,Not Graduate,No,3902,1666,5568,109,360,1,Rural,Y,N
LP001925,Female,No,0,Graduate,Yes,2600,1717,4317,99,300,1,Semiurban,N,
LP001018,Male,Yes,2,Graduate,No,4006,1526,5532,168,360,1,Urban,Y,N
LP002515,Male,Yes,1,Graduate,Yes,3450,2079,5529,162,360,1,Semiurban,Y,N
LP001726,Male,Yes,0,Graduate,No,3727,1775,5502,131,360,1,Semiurban,Y,N
LP002626,Male,Yes,0,Graduate,Yes,2479,3013,5492,188,360,1,Urban,Y,Y
LP001938,Male,Yes,2,Graduate,No,4400,0,4400,127,360,0,Semiurban,N,
LP001936,Male,Yes,0,Graduate,No,3075,2416,5491,139,360,1,Rural,Y,N
LP001945,Female,No,,Graduate,No,5417,0,5417,143,480,0,Urban,N,
LP002250,Male,Yes,0,Graduate,No,5488,0,5488,125,360,1,Rural,Y,Y
LP001949,Male,Yes,3+,Graduate,,4416,1250,5666,110,360,1,Urban,Y,N
LP001606,Male,Yes,0,Graduate,No,3497,1964,5461,116,360,1,Rural,Y,N
LP001404,Female,Yes,0,Graduate,No,3167,2283,5450,154,360,1,Semiurban,Y,N
LP001955,Female,No,0,Graduate,No,5000,2541,7541,151,480,1,Rural,N,
LP001963,Male,Yes,1,Graduate,No,2014,2925,4939,113,360,1,Urban,N,
LP001964,Male,Yes,0,Not Graduate,No,1800,2934,4734,93,360,0,Urban,N,
LP001972,Male,Yes,,Not Graduate,No,2875,1750,4625,105,360,1,Semiurban,Y,N
LP001993,Female,No,0,Graduate,No,3762,1666,5428,135,360,1,Rural,Y,N
LP001498,Male,No,0,Graduate,No,5417,0,5417,168,360,1,Urban,Y,N
LP001116,Male,No,0,Not Graduate,No,3748,1668,5416,110,360,1,Semiurban,Y,N
LP001990,Male,No,0,Not Graduate,No,2000,0,2000,,360,1,Urban,N,
LP002964,Male,Yes,2,Not Graduate,No,3987,1411,5398,157,360,1,Rural,Y,N
LP001994,Female,No,0,Graduate,No,2400,1863,4263,104,360,0,Urban,N,
LP001996,Male,No,0,Graduate,No,20233,0,20233,480,360,1,Rural,N,
LP001998,Male,Yes,2,Not Graduate,No,7667,0,7667,185,360,,Rural,Y,N
LP002225,Male,Yes,2,Graduate,No,5391,0,5391,130,360,1,Urban,Y,Y
LP002004,Male,No,0,Not Graduate,No,2927,2405,5332,111,360,1,Semiurban,Y,Y
LP002643,Male,Yes,2,Graduate,No,3283,2035,5318,148,360,1,Urban,Y,N
LP002008,Male,Yes,2,Graduate,Yes,5746,0,5746,144,84,,Rural,Y,Y
LP002024,,Yes,0,Graduate,No,2473,1843,4316,159,360,1,Rural,N,
LP001385,Male,No,0,Graduate,No,5316,0,5316,136,360,1,Urban,Y,N
LP001343,Male,Yes,0,Graduate,No,1759,3541,5300,131,360,1,Semiurban,Y,N
LP002036,Male,Yes,0,Graduate,No,2058,2134,4192,88,360,,Urban,Y,Y
LP002043,Female,No,1,Graduate,No,3541,0,3541,112,360,,Semiurban,Y,N
LP002050,Male,Yes,1,Graduate,Yes,10000,0,10000,155,360,1,Rural,N,
LP002619,Male,Yes,0,Not Graduate,No,3814,1483,5297,124,300,1,Semiurban,Y,N
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,5266,110,360,1,Urban,Y,Y
LP002054,Male,Yes,2,Not Graduate,No,3601,1590,5191,,360,1,Rural,Y,N
LP002055,Female,No,0,Graduate,No,3166,2985,6151,132,360,,Rural,Y,N
LP002131,Male,Yes,2,Not Graduate,No,3083,2168,5251,126,360,1,Urban,Y,N
LP002067,Male,Yes,1,Graduate,Yes,8666,4983,13649,376,360,0,Rural,N,
LP002537,Male,Yes,0,Graduate,No,2083,3150,5233,128,360,1,Semiurban,Y,N
LP002487,Male,Yes,0,Graduate,No,3015,2188,5203,153,360,1,Rural,Y,Y
LP002086,Female,Yes,0,Graduate,No,4333,2451,6784,110,360,1,Urban,N,
LP002197,Male,Yes,2,Graduate,No,5185,0,5185,155,360,1,Semiurban,Y,N
LP002974,Male,Yes,0,Graduate,No,3232,1950,5182,108,360,1,Rural,Y,N
LP001098,Male,Yes,0,Graduate,No,3500,1667,5167,114,360,1,Semiurban,Y,N
LP002100,Male,No,,Graduate,No,2833,0,2833,71,360,1,Urban,Y,N
LP002101,Male,Yes,0,Graduate,,63337,0,63337,490,180,1,Urban,Y,N
LP002103,,Yes,1,Graduate,Yes,9833,1833,11666,182,180,1,Urban,Y,N
LP002106,Male,Yes,,Graduate,Yes,5503,4490,9993,70,,1,Semiurban,Y,N
LP002110,Male,Yes,1,Graduate,,5250,688,5938,160,360,1,Rural,Y,N
LP002842,Male,Yes,1,Graduate,No,3417,1750,5167,186,360,1,Urban,Y,N
LP002113,Female,No,3+,Not Graduate,No,1830,0,1830,,360,0,Urban,N,
LP001872,Male,No,0,Graduate,Yes,5166,0,5166,128,360,1,Semiurban,Y,Y
LP002115,Male,Yes,3+,Not Graduate,No,2647,1587,4234,173,360,1,Rural,N,
LP002116,Female,No,0,Graduate,No,2378,0,2378,46,360,1,Rural,N,
LP001112,Female,Yes,0,Graduate,No,3667,1459,5126,144,360,1,Semiurban,Y,N
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,5100,90,360,1,Semiurban,Y,N
LP002128,Male,Yes,2,Graduate,,2583,2330,4913,125,360,1,Rural,Y,N
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,5093,81,360,1,Urban,Y,N
LP002130,Male,Yes,,Not Graduate,No,3523,3230,6753,152,360,0,Rural,N,
LP001068,Male,Yes,0,Graduate,No,2799,2253,5052,122,360,1,Semiurban,Y,N
LP002137,Male,Yes,0,Graduate,No,6333,4583,10916,259,360,,Semiurban,Y,N
LP002031,Male,Yes,1,Not Graduate,No,3399,1640,5039,111,180,1,Urban,Y,N
LP001974,Female,No,0,Graduate,No,5000,0,5000,132,360,1,Rural,Y,N
LP002140,Male,No,0,Graduate,No,8750,4167,12917,308,360,1,Rural,N,
LP002129,Male,Yes,0,Graduate,No,2499,2458,4957,160,360,1,Semiurban,Y,N
LP002142,Female,Yes,0,Graduate,Yes,5500,0,5500,105,360,0,Rural,N,
LP001032,Male,No,0,Graduate,No,4950,0,4950,125,360,1,Urban,Y,N
LP002144,Female,No,,Graduate,No,3813,0,3813,116,180,1,Urban,Y,Y
LP002449,Male,Yes,0,Graduate,No,2483,2466,4949,90,180,0,Rural,Y,N
LP002151,Male,Yes,1,Graduate,No,3875,0,3875,67,360,1,Urban,N,
LP002158,Male,Yes,0,Not Graduate,No,3000,1666,4666,100,480,0,Urban,N,
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,4941,120,360,1,Urban,Y,Y
LP002161,Female,No,1,Graduate,No,4723,0,4723,81,360,1,Semiurban,N,
LP001778,Male,Yes,1,Graduate,No,3155,1779,4934,140,360,1,Semiurban,Y,N
LP001677,Male,No,2,Graduate,No,4923,0,4923,166,360,0,Semiurban,Y,Y
LP002178,Male,Yes,0,Graduate,No,3013,3033,6046,95,300,,Urban,Y,Y
LP002068,Male,No,0,Graduate,No,4917,0,4917,130,360,0,Rural,Y,N
LP002181,Male,No,0,Not Graduate,No,6216,0,6216,133,360,1,Rural,N,
LP002187,Male,No,0,Graduate,No,2500,0,2500,96,480,1,Semiurban,N,
LP002188,Male,No,0,Graduate,No,5124,0,5124,124,,0,Rural,N,
LP001279,Male,No,0,Graduate,No,2366,2531,4897,136,360,1,Semiurban,Y,N
LP002191,Male,Yes,0,Graduate,No,19730,5266,24996,570,360,1,Rural,N,
LP001487,Male,No,0,Graduate,No,4895,0,4895,102,360,1,Semiurban,Y,N
LP001653,Male,No,0,Not Graduate,No,4885,0,4885,48,360,1,Rural,Y,N
LP001894,Male,Yes,0,Graduate,No,2620,2223,4843,150,360,1,Semiurban,Y,N
LP002205,Male,No,1,Graduate,No,3062,1987,5049,111,180,0,Urban,N,
LP002209,Female,No,0,Graduate,,2764,1459,4223,110,360,1,Urban,Y,N
LP001720,Male,Yes,3+,Not Graduate,No,3850,983,4833,100,360,1,Semiurban,Y,N
LP002777,Male,Yes,0,Graduate,No,2785,2016,4801,110,360,1,Rural,Y,N
LP002223,Male,Yes,0,Graduate,No,4310,0,4310,130,360,,Semiurban,Y,N
LP002224,Male,No,0,Graduate,No,3069,0,3069,71,480,1,Urban,N,
LP001327,Female,Yes,0,Graduate,No,2484,2302,4786,137,360,1,Semiurban,Y,N
LP002226,Male,Yes,0,Graduate,,3333,2500,5833,128,360,1,Semiurban,Y,N
LP002387,Male,Yes,0,Graduate,No,2425,2340,4765,143,360,1,Semiurban,Y,N
LP002755,Male,Yes,1,Not Graduate,No,2239,2524,4763,128,360,1,Urban,Y,Y
LP001841,Male,No,0,Not Graduate,Yes,2583,2167,4750,104,360,1,Rural,Y,Y
LP002236,Male,Yes,2,Graduate,No,4566,0,4566,100,360,1,Urban,N,
LP002237,Male,No,1,Graduate,,3667,0,3667,113,180,1,Urban,Y,Y
LP002244,Male,Yes,0,Graduate,No,2333,2417,4750,136,360,1,Urban,Y,N
LP002243,Male,Yes,0,Not Graduate,No,3010,3136,6146,,360,0,Urban,N,
LP002141,Male,Yes,3+,Graduate,No,2666,2083,4749,95,360,1,Rural,Y,N
LP001507,Male,Yes,0,Graduate,No,2698,2034,4732,122,360,1,Semiurban,Y,N
LP001914,Male,Yes,0,Graduate,No,3927,800,4727,112,360,1,Semiurban,Y,N
LP001824,Male,Yes,1,Graduate,No,2882,1843,4725,123,480,1,Semiurban,Y,Y
LP002263,Male,Yes,0,Graduate,No,2583,2115,4698,120,360,,Urban,Y,Y
LP002767,Male,Yes,0,Graduate,No,2768,1950,4718,155,360,1,Rural,Y,N
LP001940,Male,Yes,2,Graduate,No,3153,1560,4713,134,360,1,Urban,Y,Y
LP002272,Male,Yes,2,Graduate,No,3276,484,3760,135,360,,Semiurban,Y,N
LP002277,Female,No,0,Graduate,No,3180,0,3180,71,360,0,Urban,N,
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,4695,96,,1,Urban,Y,Y
LP002519,Male,Yes,3+,Graduate,No,4691,0,4691,100,360,1,Semiurban,Y,N
LP002287,Female,No,0,Graduate,No,1500,1800,3300,103,360,0,Semiurban,N,
LP002288,Male,Yes,2,Not Graduate,No,2889,0,2889,45,180,0,Urban,N,
LP002296,Male,No,0,Not Graduate,No,2755,0,2755,65,300,1,Rural,N,
LP001892,Male,No,0,Graduate,No,2833,1857,4690,126,360,1,Rural,Y,Y
LP002429,Male,Yes,1,Graduate,Yes,3466,1210,4676,130,360,1,Rural,Y,N
LP002301,Female,No,0,Graduate,Yes,7441,0,7441,194,360,1,Rural,N,
LP001954,Female,Yes,1,Graduate,No,4666,0,4666,135,360,1,Urban,Y,N
LP002347,Male,Yes,0,Graduate,No,3246,1417,4663,138,360,1,Semiurban,Y,N
LP002434,Male,Yes,2,Not Graduate,No,4652,0,4652,110,360,1,Rural,Y,N
LP002315,Male,Yes,1,Graduate,No,8300,0,8300,152,300,0,Semiurban,N,
LP002317,Male,Yes,3+,Graduate,No,81000,0,81000,360,360,0,Rural,N,
LP002318,Female,No,1,Not Graduate,Yes,3867,0,3867,62,360,1,Semiurban,N,
LP002319,Male,Yes,0,Graduate,,6256,0,6256,160,360,,Urban,Y,Y
LP002328,Male,Yes,0,Not Graduate,No,6096,0,6096,218,360,0,Rural,N,
LP001282,Male,Yes,0,Graduate,No,2500,2118,4618,104,360,1,Semiurban,Y,N
LP002335,Female,Yes,0,Not Graduate,No,2149,3237,5386,178,360,0,Semiurban,N,
LP001636,Male,Yes,0,Graduate,No,4600,0,4600,73,180,1,Semiurban,Y,N
LP002341,Female,No,1,Graduate,No,2600,0,2600,160,360,1,Urban,N,
LP002342,Male,Yes,2,Graduate,Yes,1600,20000,21600,239,360,1,Urban,N,
LP001900,Male,Yes,1,Graduate,No,2750,1842,4592,115,360,1,Semiurban,Y,Y
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,4583,135,360,1,Urban,Y,Y
LP002051,Male,Yes,0,Graduate,No,2400,2167,4567,115,360,1,Semiurban,Y,N
LP002357,Female,No,0,Not Graduate,No,2720,0,2720,80,,0,Urban,N,
LP002308,Male,Yes,0,Not Graduate,No,2167,2400,4567,115,360,1,Urban,Y,N
LP002362,Male,Yes,1,Graduate,No,7250,1667,8917,110,,0,Urban,N,
LP002305,Female,No,0,Graduate,No,4547,0,4547,115,360,1,Semiurban,Y,N
LP001765,Male,Yes,1,Graduate,No,2491,2054,4545,104,360,1,Semiurban,Y,N
LP002367,Female,No,1,Not Graduate,No,4606,0,4606,81,360,1,Rural,N,
LP002053,Male,Yes,3+,Graduate,No,4342,189,4531,124,360,1,Semiurban,Y,N
LP002266,Male,Yes,2,Graduate,No,3100,1400,4500,113,360,1,Urban,Y,N
LP002281,Male,Yes,0,Graduate,No,3033,1459,4492,95,360,1,Urban,Y,N
LP001884,Female,No,1,Graduate,No,2876,1560,4436,90,360,1,Urban,Y,Y
LP002379,Male,No,0,Graduate,No,6500,0,6500,105,360,0,Rural,N,
LP002386,Male,No,0,Graduate,,12876,0,12876,405,360,1,Semiurban,Y,N
LP001692,Female,No,0,Not Graduate,No,4408,0,4408,120,360,1,Semiurban,Y,N
LP001904,Male,Yes,0,Graduate,No,3103,1300,4403,80,360,1,Urban,Y,N
LP002393,Female,,,Graduate,No,10047,0,10047,,240,1,Semiurban,Y,N
LP002544,Male,Yes,1,Not Graduate,No,1958,2436,4394,131,360,1,Rural,Y,N
LP002401,Male,Yes,0,Graduate,No,2213,1125,3338,,360,1,Urban,Y,N
LP002403,Male,No,0,Graduate,Yes,10416,0,10416,187,360,0,Urban,N,
LP002472,Male,No,2,Graduate,No,4354,0,4354,136,360,1,Rural,Y,N
LP002534,Female,No,0,Not Graduate,No,4350,0,4350,154,360,1,Rural,Y,N
LP002603,Female,No,0,Graduate,No,645,3683,4328,113,480,1,Rural,Y,N
LP002772,Male,No,0,Graduate,No,2526,1783,4309,145,360,1,Rural,Y,Y
LP002459,Male,Yes,0,Graduate,No,4301,0,4301,118,360,1,Urban,Y,N
LP002424,Male,Yes,0,Graduate,No,7333,8333,15666,175,300,,Rural,Y,N
